# pocket-island-perf-v1 build=71e89695638d new_3ds=1 capture=0
elapsed_ms,frames,fps,frame_ms,p95_ms,max_ms,update_skin_ms,upload_ms,draw_ui_ms,end_ms,wait_ms,gpu_previous_ms,steps_per_frame,avatar_vertices,terrain_vertices,action,panel
55355.504,9,8.553,116.919,117.736,117.736,97.732,8.482,4.083,0.241,6.321,13.005,3.000,25176,73824,1,0
56408.996,9,8.543,117.055,117.776,117.776,97.742,8.509,4.143,0.255,6.345,12.972,3.000,25176,73824,1,0
57461.580,9,8.550,116.954,117.842,117.842,96.603,8.182,4.193,0.254,7.662,12.906,3.000,25176,73824,2,0
58514.939,9,8.544,117.040,117.494,117.494,97.733,8.515,4.110,0.234,6.387,12.979,3.000,25176,73824,2,0
59567.832,9,8.548,116.988,117.224,117.224,97.706,8.537,4.092,0.246,6.348,12.954,3.000,25176,73824,2,0
60620.779,9,8.547,116.994,117.399,117.399,97.698,8.500,4.162,0.250,6.322,12.926,3.000,25176,73824,2,0
61673.470,9,8.550,116.966,117.569,117.569,97.722,8.473,4.168,0.262,6.277,13.031,3.000,25176,73824,2,0
62726.944,9,8.543,117.053,118.269,118.269,96.675,8.280,4.178,0.257,7.600,13.155,3.000,25176,73824,2,0
63779.249,9,8.553,116.923,117.892,117.892,97.714,8.442,4.157,0.254,6.293,13.357,3.000,25176,73824,2,0
64832.800,9,8.543,117.061,117.833,117.833,97.697,8.593,4.115,0.251,6.344,13.311,3.000,25176,73824,1,0
65885.195,9,8.552,116.933,117.712,117.712,97.699,8.418,4.110,0.246,6.398,13.431,3.000,25176,73824,1,0
66938.628,9,8.543,117.048,117.518,117.518,96.606,8.259,4.113,0.261,7.747,13.477,3.000,25176,73824,1,0
67991.254,9,8.550,116.958,117.348,117.348,97.761,8.484,4.136,0.269,6.250,13.564,3.000,25176,73824,2,0
69044.644,9,8.544,117.043,117.342,117.342,97.713,8.503,4.146,0.255,6.365,13.422,3.000,25176,73824,2,0
70097.077,9,8.552,116.937,117.211,117.211,97.633,8.505,4.096,0.257,6.386,13.427,3.000,25176,73824,2,0
71150.687,9,8.542,117.068,117.598,117.598,97.671,8.512,4.161,0.267,6.396,13.438,3.000,25176,73824,2,0
72203.016,9,8.552,116.925,118.515,118.515,96.681,8.221,4.188,0.262,7.513,13.210,3.000,25176,73824,2,0
73256.687,9,8.542,117.075,117.682,117.682,97.809,8.493,4.238,0.252,6.222,13.245,3.000,25176,73824,0,0
74309.018,9,8.552,116.926,117.671,117.671,97.853,8.476,4.206,0.270,6.058,13.144,3.000,25176,73824,0,0
75362.431,9,8.544,117.046,117.782,117.782,97.765,8.633,4.185,0.249,6.154,13.150,3.000,25176,73824,1,0
76414.912,9,8.551,116.942,117.572,117.572,96.649,8.193,4.179,0.249,7.611,13.130,3.000,25176,73824,0,0
77468.156,9,8.545,117.027,117.609,117.609,97.754,8.537,4.197,0.264,6.208,13.213,3.000,25176,73824,0,0
78521.959,9,8.540,117.089,117.796,117.796,97.726,8.574,4.175,0.255,6.299,13.160,3.000,25176,73824,0,0
79574.258,9,8.553,116.922,117.318,117.318,97.781,8.568,4.238,0.246,6.029,13.167,3.000,25176,73824,1,0
80626.818,9,8.551,116.951,117.483,117.483,97.622,8.479,4.217,0.247,6.326,13.208,3.000,25176,73824,0,0
81680.624,9,8.540,117.090,118.333,118.333,96.479,8.282,4.278,0.255,7.735,13.125,3.000,25176,73824,1,0
82732.641,9,8.555,116.891,117.633,117.633,97.744,8.396,4.230,0.239,6.221,13.254,3.000,25176,73824,0,0
83786.196,9,8.543,117.062,117.739,117.739,97.808,8.519,4.142,0.247,6.285,13.235,3.000,25176,73824,1,0
84838.642,9,8.552,116.938,117.874,117.874,97.713,8.502,4.132,0.255,6.274,13.162,3.000,25176,73824,0,0
85891.081,9,8.552,116.938,117.660,117.660,96.651,8.274,4.202,0.255,7.494,13.140,3.000,22248,73824,1,0
86944.544,9,8.543,117.051,117.496,117.496,97.718,8.459,4.142,0.245,6.426,13.356,3.000,25176,73824,1,0
87997.897,9,8.544,117.039,117.673,117.673,97.569,8.444,4.202,0.285,6.478,13.386,3.000,25176,73824,1,0
89050.479,9,8.550,116.954,117.888,117.888,97.756,8.429,4.163,0.252,6.293,13.560,3.000,25176,73824,1,0
90104.088,9,8.542,117.068,117.979,117.979,97.692,8.533,4.166,0.238,6.378,13.559,3.000,25176,73824,0,0
91106.604,11,10.972,91.138,117.911,117.911,70.193,8.332,4.312,0.249,7.990,13.444,2.182,25176,73824,0,0
92176.128,14,13.090,76.395,117.471,117.471,55.802,8.459,4.332,0.256,7.485,13.320,1.714,24960,73824,0,0
93229.516,9,8.544,117.043,117.818,117.818,96.701,8.389,4.361,0.246,7.286,13.377,3.000,24960,73824,0,0
94231.772,11,10.975,91.114,117.347,117.347,70.576,8.380,4.253,0.247,7.598,13.363,2.182,24960,73824,6,0
95284.998,9,8.545,117.025,117.766,117.766,96.877,8.462,4.250,0.251,7.127,13.438,3.000,24960,73824,6,0
96338.002,9,8.547,117.000,117.835,117.835,96.004,8.247,4.295,0.247,8.149,13.395,3.000,24960,73824,0,0
97340.958,11,10.968,91.178,117.689,117.689,70.560,8.417,4.266,0.255,7.621,13.375,2.182,24960,73824,6,0
98393.406,9,8.551,116.939,117.394,117.394,96.878,8.314,4.298,0.245,7.145,13.285,3.000,24960,73824,0,0
99396.806,11,10.963,91.218,117.642,117.642,70.633,8.407,4.280,0.248,7.593,13.348,2.182,24960,73824,3,0
100416.178,10,9.810,101.937,117.826,117.826,80.971,8.415,4.301,0.245,7.947,13.330,2.500,24960,73824,5,0
101452.464,10,9.650,103.629,117.769,117.769,83.257,8.271,4.291,0.249,7.503,13.354,2.600,24960,73824,0,0
102455.073,11,10.971,91.146,117.733,117.733,70.471,8.375,4.324,0.265,7.652,13.358,2.182,24960,73824,7,0
103508.340,9,8.545,117.030,117.513,117.513,96.705,8.377,4.355,0.244,7.289,13.360,3.000,24960,73824,7,0
104510.540,11,10.976,91.109,117.376,117.376,70.511,8.455,4.352,0.251,7.480,13.400,2.182,24960,73824,0,0
105513.927,11,10.963,91.217,117.569,117.569,70.541,8.479,4.321,0.264,7.554,13.431,2.182,24960,73824,0,0
106566.543,9,8.550,116.957,117.640,117.640,95.766,8.208,4.361,0.251,8.314,13.351,3.000,24960,73824,0,0
107569.546,11,10.967,91.182,117.460,117.460,70.539,8.428,4.323,0.266,7.567,13.327,2.182,24960,73824,0,0
108622.320,9,8.549,116.975,117.645,117.645,96.685,8.384,4.325,0.264,7.258,13.332,3.000,24960,73824,0,0
109624.801,11,10.973,91.135,117.407,117.407,67.264,7.824,4.360,0.256,11.372,13.251,2.182,23040,73824,0,0
110677.582,9,8.549,116.976,117.477,117.477,92.330,7.752,4.308,0.234,12.294,13.299,3.000,23040,73824,0,0
111748.457,11,10.272,97.352,117.957,117.957,76.256,8.414,4.332,0.242,8.051,13.347,2.364,25176,73824,0,0
112784.040,11,10.622,94.144,117.857,117.857,73.693,8.547,4.315,0.247,7.285,13.335,2.273,24960,73824,0,0
113887.161,10,9.065,110.312,117.590,117.590,90.318,8.382,4.340,0.254,6.960,13.282,2.800,24960,73824,0,0
114940.634,9,8.543,117.053,117.685,117.685,96.672,8.416,4.335,0.243,7.329,13.335,3.000,24960,73824,0,0
115992.996,9,8.552,116.929,118.397,118.397,95.899,8.271,4.314,0.252,8.135,13.362,3.000,24960,73824,0,0
117046.446,9,8.543,117.050,117.826,117.826,96.780,8.481,4.326,0.249,7.156,13.381,3.000,24960,73824,0,0
118098.955,9,8.551,116.945,117.610,117.610,96.739,8.379,4.398,0.250,7.122,13.397,3.000,24960,73824,0,0
119152.249,9,8.545,117.033,117.451,117.451,96.771,8.481,4.298,0.240,7.185,13.359,3.000,24960,73824,0,0
120204.872,9,8.550,116.958,117.193,117.193,96.706,8.482,4.319,0.267,7.128,13.433,3.000,24960,73824,0,0
121258.394,9,8.543,117.058,117.645,117.645,95.811,8.305,4.311,0.256,8.319,13.276,3.000,24960,73824,0,0
122310.667,9,8.553,116.919,117.529,117.529,96.723,8.339,4.344,0.250,7.205,13.331,3.000,24960,73824,0,0
